Location,Habitat,Site No,Site.Name,Lon,Lat,Year,Date (mm/dd/yy),Data Point,Relief (m),Data Collector
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,1,0.95,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,2,1.1,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,3,1,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,4,1.2,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,5,1.1,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,6,0.95,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,7,1.1,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,8,1.25,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,9,1,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,10,0.95,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,11,0.8,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,12,1,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,13,0.85,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,14,1,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,15,1.1,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,16,1.15,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,17,0.85,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,18,0.9,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,19,1,Scott Jones
CBC,Fore Reef,CBC2,Carrie Bow Reef,16.8021,-88.078817,2016,10/20/16,20,0.8,Scott Jones
