"","Site.Name","Habitat","Year","Species","sum"
"1","Blueground Mangrove","Mangrove","2015","Coryphopterus dicrus",1
"2","Blueground Mangrove","Mangrove","2015","Abudefduf saxatilis",1
"3","Blueground Mangrove","Mangrove","2015","Acanthurus chirurgus",3
"4","Blueground Mangrove","Mangrove","2015","Chaetodon capistratus",1
"5","Blueground Mangrove","Mangrove","2015","Clupeidae",250
"6","Blueground Mangrove","Mangrove","2015","Haemulon flavolineatum",1
"7","Blueground Mangrove","Mangrove","2015","Haemulon sciurus",3
"8","Blueground Mangrove","Mangrove","2015","Haemulon sp.",3
"9","Blueground Mangrove","Mangrove","2015","Halichoeres bivittatus",2
"10","Blueground Mangrove","Mangrove","2015","Hypoplectrus spp.",1
"11","Blueground Mangrove","Mangrove","2015","Lutjanus apodus",2
"12","Blueground Mangrove","Mangrove","2015","Lutjanus griseus",4
"13","Blueground Mangrove","Mangrove","2015","Scarus iseri",17
"14","Blueground Mangrove","Mangrove","2015","Sparisoma rubripinne",7
"15","Blueground Mangrove","Mangrove","2015","Sparisoma viride",2
"16","Blueground Mangrove","Mangrove","2015","Stegastes variabilis",3
"17","Blueground Mangrove","Mangrove","2015","Strongylura notata",1
"18","Blueground Mangrove","Mangrove","2016","Clupeid spp.",12
"19","Blueground Mangrove","Mangrove","2016","Clupeidae",70
"20","Blueground Mangrove","Mangrove","2016","Haemulon carbonarium",1
"21","Blueground Mangrove","Mangrove","2016","Haemulon spp.",4
"22","Blueground Mangrove","Mangrove","2016","Lutjanus apodus",19
"23","Blueground Mangrove","Mangrove","2016","Lutjanus griseus",3
"24","Blueground Mangrove","Mangrove","2016","Scarus iseri",22
"25","Blueground Mangrove","Mangrove","2016","Sparisoma viride",1
"26","Blueground Mangrove","Mangrove","2016","Sphyraena barracuda",2
"27","Blueground Mangrove","Mangrove","2016","Strongylura notata",4
"28","Blueground Mangrove","Mangrove","2016","Thalassoma bifasciatum",1
"29","Blueground Mangrove","Mangrove","2017","Abudefduf saxatilis",1
"30","Blueground Mangrove","Mangrove","2017","Acanthurus chirurgus",1
"31","Blueground Mangrove","Mangrove","2017","Anisotremus virginicus",1
"32","Blueground Mangrove","Mangrove","2017","Canthigaster rostrata",19
"33","Blueground Mangrove","Mangrove","2017","Chaetodon capistratus",2
"34","Blueground Mangrove","Mangrove","2017","Haemulon plumierii",3
"35","Blueground Mangrove","Mangrove","2017","Haemulon sciurus",2
"36","Blueground Mangrove","Mangrove","2017","Haemulon spp.",8
"37","Blueground Mangrove","Mangrove","2017","Lutjanus apodus",2
"38","Blueground Mangrove","Mangrove","2017","Lutjanus griseus",5
"39","Blueground Mangrove","Mangrove","2017","Scarus iseri",23
"40","Blueground Mangrove","Mangrove","2017","Sparisoma aurofrenatum",5
"41","Blueground Mangrove","Mangrove","2017","Sparisoma rubripinne",1
"42","Blueground Mangrove","Mangrove","2017","Sparisoma viride",1
"43","Blueground Mangrove","Mangrove","2017","Stegastes diencaeus",1
"44","Blueground Mangrove","Mangrove","2017","Stegastes variabilis",1
"45","Blueground Mangrove","Mangrove","2017","Strongylura notata",1
"46","Carrie Bow Reef","Fore Reef","2015","Acanthemblemaria aspera",10
"47","Carrie Bow Reef","Fore Reef","2015","Amblycirrhitus pinos",1
"48","Carrie Bow Reef","Fore Reef","2015","Diplogrammus pauciradiatus",1
"49","Carrie Bow Reef","Fore Reef","2015","Elacatinus lobeli",6
"50","Carrie Bow Reef","Fore Reef","2015","Malacoctenus triangulatus",1
"51","Carrie Bow Reef","Fore Reef","2015","Acanthurus bahianus",1
"52","Carrie Bow Reef","Fore Reef","2015","Acanthurus coeruleus",10
"53","Carrie Bow Reef","Fore Reef","2015","Canthigaster rostrata",2
"54","Carrie Bow Reef","Fore Reef","2015","Cephalopholis cruentata",1
"55","Carrie Bow Reef","Fore Reef","2015","Chaetodon capistratus",1
"56","Carrie Bow Reef","Fore Reef","2015","Chaetodon striatus",1
"57","Carrie Bow Reef","Fore Reef","2015","Chromis cyanea",1
"58","Carrie Bow Reef","Fore Reef","2015","Clepticus parrae",3
"59","Carrie Bow Reef","Fore Reef","2015","Haemulon flavolineatum",2
"60","Carrie Bow Reef","Fore Reef","2015","Halichoeres bivittatus",2
"61","Carrie Bow Reef","Fore Reef","2015","Halichoeres garnoti",9
"62","Carrie Bow Reef","Fore Reef","2015","Halichoeres maculipinna",2
"63","Carrie Bow Reef","Fore Reef","2015","Holacanthus tricolor",1
"64","Carrie Bow Reef","Fore Reef","2015","Scarus iseri",15
"65","Carrie Bow Reef","Fore Reef","2015","Serranus tigrinus",1
"66","Carrie Bow Reef","Fore Reef","2015","Sparisoma aurofrenatum",7
"67","Carrie Bow Reef","Fore Reef","2015","Sparisoma viride",1
"68","Carrie Bow Reef","Fore Reef","2015","Stegastes adustus",2
"69","Carrie Bow Reef","Fore Reef","2015","Stegastes partitus",20
"70","Carrie Bow Reef","Fore Reef","2015","Stegastes planifrons",2
"71","Carrie Bow Reef","Fore Reef","2015","Stegastes variabilis",1
"72","Carrie Bow Reef","Fore Reef","2015","Thalassoma bifasciatum",19
"73","Carrie Bow Reef","Fore Reef","2016","Acanthemblemaria aspera",11
"74","Carrie Bow Reef","Fore Reef","2016","Coryphopterus glaucofraenum",3
"75","Carrie Bow Reef","Fore Reef","2016","Gnatholepis thompsoni",4
"76","Carrie Bow Reef","Fore Reef","2016","Serranus tigrinus",3
"77","Carrie Bow Reef","Fore Reef","2016","Acanthurus coeruleus",3
"78","Carrie Bow Reef","Fore Reef","2016","Acanthurus tractus",5
"79","Carrie Bow Reef","Fore Reef","2016","Canthigaster rostrata",2
"80","Carrie Bow Reef","Fore Reef","2016","Cephalopholis cruentata",2
"81","Carrie Bow Reef","Fore Reef","2016","Chromis cyanea",4
"82","Carrie Bow Reef","Fore Reef","2016","Ginglymostoma cirratum",1
"83","Carrie Bow Reef","Fore Reef","2016","Haemulon sciurus",1
"84","Carrie Bow Reef","Fore Reef","2016","Halichoeres bivittatus",1
"85","Carrie Bow Reef","Fore Reef","2016","Halichoeres garnoti",15
"86","Carrie Bow Reef","Fore Reef","2016","Halichoeres maculipinna",2
"87","Carrie Bow Reef","Fore Reef","2016","Hypoplectrus nigricans",2
"88","Carrie Bow Reef","Fore Reef","2016","Scarus iseri",20
"89","Carrie Bow Reef","Fore Reef","2016","Sparisoma aurofrenatum",13
"90","Carrie Bow Reef","Fore Reef","2016","Sparisoma chrysopterum",2
"91","Carrie Bow Reef","Fore Reef","2016","Stegastes adustus",9
"92","Carrie Bow Reef","Fore Reef","2016","Stegastes partitus",14
"93","Carrie Bow Reef","Fore Reef","2016","Stegastes planifrons",3
"94","Carrie Bow Reef","Fore Reef","2016","Stegastes variabilis",4
"95","Carrie Bow Reef","Fore Reef","2016","Thalassoma bifasciatum",5
"96","Carrie Bow Reef","Fore Reef","2017","Acanthemblemaria aspera",3
"97","Carrie Bow Reef","Fore Reef","2017","Coryphopterus dicrus",2
"98","Carrie Bow Reef","Fore Reef","2017","Coryphopterus glaucofraenum",3
"99","Carrie Bow Reef","Fore Reef","2017","Acanthurus coeruleus",3
"100","Carrie Bow Reef","Fore Reef","2017","Acanthurus tractus",5
"101","Carrie Bow Reef","Fore Reef","2017","Canthigaster rostrata",268
"102","Carrie Bow Reef","Fore Reef","2017","Cephalopholis cruentata",1
"103","Carrie Bow Reef","Fore Reef","2017","Chromis cyanea",2
"104","Carrie Bow Reef","Fore Reef","2017","Clepticus parrae",39
"105","Carrie Bow Reef","Fore Reef","2017","Haemulon flavolineatum",1
"106","Carrie Bow Reef","Fore Reef","2017","Haemulon plumierii",1
"107","Carrie Bow Reef","Fore Reef","2017","Halichoeres garnoti",6
"108","Carrie Bow Reef","Fore Reef","2017","Halichoeres maculipinna",2
"109","Carrie Bow Reef","Fore Reef","2017","Holocentrus rufus",1
"110","Carrie Bow Reef","Fore Reef","2017","Hypoplectrus nigricans",1
"111","Carrie Bow Reef","Fore Reef","2017","Scarus iseri",9
"112","Carrie Bow Reef","Fore Reef","2017","Sparisoma aurofrenatum",10
"113","Carrie Bow Reef","Fore Reef","2017","Stegastes diencaeus",12
"114","Carrie Bow Reef","Fore Reef","2017","Stegastes partitus",27
"115","Carrie Bow Reef","Fore Reef","2017","Stegastes planifrons",1
"116","Carrie Bow Reef","Fore Reef","2017","Stegastes variabilis",1
"117","Carrie Bow Reef","Fore Reef","2017","Thalassoma bifasciatum",8
"118","Carrie Bow Patch Reef","Patch Reef","2015","Acanthemblemaria aspera",5
"119","Carrie Bow Patch Reef","Patch Reef","2015","Coryphopterus dicrus",9
"120","Carrie Bow Patch Reef","Patch Reef","2015","Coryphopterus eidolon",50
"121","Carrie Bow Patch Reef","Patch Reef","2015","Coryphopterus personatus",3
"122","Carrie Bow Patch Reef","Patch Reef","2015","Elacatinus lobeli",3
"123","Carrie Bow Patch Reef","Patch Reef","2015","Gymnothorax miliaris",2
"124","Carrie Bow Patch Reef","Patch Reef","2015","Opistognathus sp.",1
"125","Carrie Bow Patch Reef","Patch Reef","2015","Serranus tigrinus",2
"126","Carrie Bow Patch Reef","Patch Reef","2015","Acanthurus bahianus",1
"127","Carrie Bow Patch Reef","Patch Reef","2015","Acanthurus tractus",2
"128","Carrie Bow Patch Reef","Patch Reef","2015","Calamus calamus",1
"129","Carrie Bow Patch Reef","Patch Reef","2015","Canthigaster rostrata",1
"130","Carrie Bow Patch Reef","Patch Reef","2015","Cephalopholis cruentata",2
"131","Carrie Bow Patch Reef","Patch Reef","2015","Chaetodon capistratus",1
"132","Carrie Bow Patch Reef","Patch Reef","2015","Chromis cyanea",24
"133","Carrie Bow Patch Reef","Patch Reef","2015","Chromis multilineata",2
"134","Carrie Bow Patch Reef","Patch Reef","2015","Haemulon flavolineatum",3
"135","Carrie Bow Patch Reef","Patch Reef","2015","Haemulon plumierii",1
"136","Carrie Bow Patch Reef","Patch Reef","2015","Halichoeres garnoti",13
"137","Carrie Bow Patch Reef","Patch Reef","2015","Halichoeres maculipinna",1
"138","Carrie Bow Patch Reef","Patch Reef","2015","Holocentrus adscensionis",4
"139","Carrie Bow Patch Reef","Patch Reef","2015","Holocentrus rufus",3
"140","Carrie Bow Patch Reef","Patch Reef","2015","Scarus iseri",6
"141","Carrie Bow Patch Reef","Patch Reef","2015","Sparisoma aurofrenatum",19
"142","Carrie Bow Patch Reef","Patch Reef","2015","Sparisoma viride",6
"143","Carrie Bow Patch Reef","Patch Reef","2015","Stegastes partitus",64
"144","Carrie Bow Patch Reef","Patch Reef","2015","Stegastes planifrons",30
"145","Carrie Bow Patch Reef","Patch Reef","2015","Stegastes variabilis",3
"146","Carrie Bow Patch Reef","Patch Reef","2015","Thalassoma bifasciatum",13
"147","Carrie Bow Patch Reef","Patch Reef","2016","Canthigaster rostrata",5
"148","Carrie Bow Patch Reef","Patch Reef","2016","Cephalopholis cruentata",3
"149","Carrie Bow Patch Reef","Patch Reef","2016","Coryphopterus dicrus",15
"150","Carrie Bow Patch Reef","Patch Reef","2016","Coryphopterus personatus",10
"151","Carrie Bow Patch Reef","Patch Reef","2016","Elacatinus lobeli",1
"152","Carrie Bow Patch Reef","Patch Reef","2016","Gnatholepis thompsoni",1
"153","Carrie Bow Patch Reef","Patch Reef","2016","Holocentrus rufus",2
"154","Carrie Bow Patch Reef","Patch Reef","2016","Serranus tigrinus",1
"155","Carrie Bow Patch Reef","Patch Reef","2016","Acanthurus coeruleus",4
"156","Carrie Bow Patch Reef","Patch Reef","2016","Chaetodon capistratus",2
"157","Carrie Bow Patch Reef","Patch Reef","2016","Chromis cyanea",22
"158","Carrie Bow Patch Reef","Patch Reef","2016","Clepticus parrae",7
"159","Carrie Bow Patch Reef","Patch Reef","2016","Haemulon flavolineatum",2
"160","Carrie Bow Patch Reef","Patch Reef","2016","Haemulon plumierii",1
"161","Carrie Bow Patch Reef","Patch Reef","2016","Halichoeres garnoti",86
"162","Carrie Bow Patch Reef","Patch Reef","2016","Lachnolaimus maximus",1
"163","Carrie Bow Patch Reef","Patch Reef","2016","Pomacanthus arcuatus",1
"164","Carrie Bow Patch Reef","Patch Reef","2016","Scarus iseri",49
"165","Carrie Bow Patch Reef","Patch Reef","2016","Sparisoma aurofrenatum",19
"166","Carrie Bow Patch Reef","Patch Reef","2016","Sparisoma viride",4
"167","Carrie Bow Patch Reef","Patch Reef","2016","Stegastes diencaeus",32
"168","Carrie Bow Patch Reef","Patch Reef","2016","Stegastes partitus",104
"169","Carrie Bow Patch Reef","Patch Reef","2016","Stegastes planifrons",78
"170","Carrie Bow Patch Reef","Patch Reef","2016","Stegastes variabilis",6
"171","Carrie Bow Patch Reef","Patch Reef","2016","Thalassoma bifasciatum",56
"172","Carrie Bow Patch Reef","Patch Reef","2017","Acanthemblemaria aspera",3
"173","Carrie Bow Patch Reef","Patch Reef","2017","Coryphopterus glaucofraenum",2
"174","Carrie Bow Patch Reef","Patch Reef","2017","Acanthurus chirurgus",3
"175","Carrie Bow Patch Reef","Patch Reef","2017","Acanthurus coeruleus",2
"176","Carrie Bow Patch Reef","Patch Reef","2017","Aulostomus maculatus",1
"177","Carrie Bow Patch Reef","Patch Reef","2017","Canthigaster rostrata",143
"178","Carrie Bow Patch Reef","Patch Reef","2017","Cephalopholis cruentata",3
"179","Carrie Bow Patch Reef","Patch Reef","2017","Chaetodon capistratus",3
"180","Carrie Bow Patch Reef","Patch Reef","2017","Chaetodon ocellatus",1
"181","Carrie Bow Patch Reef","Patch Reef","2017","Chromis cyanea",5
"182","Carrie Bow Patch Reef","Patch Reef","2017","Haemulon flavolineatum",2
"183","Carrie Bow Patch Reef","Patch Reef","2017","Halichoeres garnoti",11
"184","Carrie Bow Patch Reef","Patch Reef","2017","Halichoeres maculipinna",2
"185","Carrie Bow Patch Reef","Patch Reef","2017","Holocentrus adscensionis",1
"186","Carrie Bow Patch Reef","Patch Reef","2017","Holocentrus rufus",3
"187","Carrie Bow Patch Reef","Patch Reef","2017","Pomacanthus arcuatus",1
"188","Carrie Bow Patch Reef","Patch Reef","2017","Scarus iseri",27
"189","Carrie Bow Patch Reef","Patch Reef","2017","Serranus tigrinus",2
"190","Carrie Bow Patch Reef","Patch Reef","2017","Sparisoma aurofrenatum",3
"191","Carrie Bow Patch Reef","Patch Reef","2017","Sparisoma viride",1
"192","Carrie Bow Patch Reef","Patch Reef","2017","Stegastes diencaeus",14
"193","Carrie Bow Patch Reef","Patch Reef","2017","Stegastes partitus",78
"194","Carrie Bow Patch Reef","Patch Reef","2017","Stegastes planifrons",12
"195","Carrie Bow Patch Reef","Patch Reef","2017","Thalassoma bifasciatum",17
"196","Carrie Bow Sand","Sand","2015","Bothus lunatus",2
"197","Carrie Bow Sand","Sand","2015","Coryphopterus dicrus",5
"198","Carrie Bow Sand","Sand","2015","Ptereleotris helenae",2
"199","Carrie Bow Sand","Sand","2015","Sphoeroides spengleri",1
"200","Carrie Bow Sand","Sand","2015","Cryptotomus roseus",2
"201","Carrie Bow Sand","Sand","2015","Diplectrum bivittatum",1
"202","Carrie Bow Sand","Sand","2015","Haemulon sp.",1
"203","Carrie Bow Sand","Sand","2015","Halichoeres bivittatus",4
"204","Carrie Bow Sand","Sand","2015","Ptereleotris calliura",1
"205","Carrie Bow Sand","Sand","2015","Ptereleotris randalli",1
"206","Carrie Bow Sand","Sand","2015","Serranus tortugarum",1
"207","Carrie Bow Sand","Sand","2015","Stegastes partitus",7
"208","Carrie Bow Sand","Sand","2015","Xyrichtys splendens",4
"209","Carrie Bow Sand","Sand","2016","Bothus ocellatus",1
"210","Carrie Bow Sand","Sand","2016","Coryphopterus dicrus",3
"211","Carrie Bow Sand","Sand","2016","Diplectrum bivittatum",1
"212","Carrie Bow Sand","Sand","2016","Ptereleotris helenae",1
"213","Carrie Bow Sand","Sand","2016","Serranus baldwini",2
"214","Carrie Bow Sand","Sand","2016","Carangoides bartholomaei",46
"215","Carrie Bow Sand","Sand","2016","Carangoides ruber",38
"216","Carrie Bow Sand","Sand","2016","Caranx crysos",18
"217","Carrie Bow Sand","Sand","2016","Cryptotomus roseus",3
"218","Carrie Bow Sand","Sand","2016","Euthynnus alletteratus",2
"219","Carrie Bow Sand","Sand","2016","Halichoeres bivittatus",2
"220","Carrie Bow Sand","Sand","2016","Sparisoma viride",1
"221","Carrie Bow Sand","Sand","2016","Stegastes partitus",1
"222","Carrie Bow Sand","Sand","2016","Xyrichtys novacula",1
"223","Carrie Bow Sand","Sand","2016","Xyrichtys splendens",15
"224","Carrie Bow Sand","Sand","2017","Bothus lunatus",1
"225","Carrie Bow Sand","Sand","2017","Petrochirus diogenes",1
"226","Carrie Bow Sand","Sand","2017","Trachinocephalus myops",1
"227","Carrie Bow Sand","Sand","2017","Canthigaster rostrata",33
"228","Carrie Bow Sand","Sand","2017","Halichoeres bivittatus",5
"229","Carrie Bow Sand","Sand","2017","Ptereleotris helenae",1
"230","Carrie Bow Sand","Sand","2017","Stegastes partitus",1
"231","Carrie Bow Sand","Sand","2017","Xyrichtys martinicensis",3
"232","Carrie Bow Sand","Sand","2017","Xyrichtys splendens",9
"233","Carrie Bow Seagrass","Seagrass","2015","Monacanthus tuckeri",1
"234","Carrie Bow Seagrass","Seagrass","2015","Chaetodon ocellatus",1
"235","Carrie Bow Seagrass","Seagrass","2015","Halichoeres bivittatus",6
"236","Carrie Bow Seagrass","Seagrass","2015","Myrichthys breviceps",1
"237","Carrie Bow Seagrass","Seagrass","2015","Serranus baldwini",1
"238","Carrie Bow Seagrass","Seagrass","2015","Sparisoma radians",6
"239","Carrie Bow Seagrass","Seagrass","2015","Xyrichtys splendens",1
"240","Carrie Bow Seagrass","Seagrass","2016","Canthigaster rostrata",1
"241","Carrie Bow Seagrass","Seagrass","2016","Malacoctenus macropus",1
"242","Carrie Bow Seagrass","Seagrass","2016","Halichoeres bivittatus",1
"243","Carrie Bow Seagrass","Seagrass","2017","Malacoctenus macropus",1
"244","Carrie Bow Seagrass","Seagrass","2017","Serranus baldwini",1
"245","Carrie Bow Seagrass","Seagrass","2017","Sygnathidae sp.",1
"246","Carrie Bow Seagrass","Seagrass","2017","Acanthurus chirurgus",1
"247","Carrie Bow Seagrass","Seagrass","2017","Canthigaster rostrata",29
"248","Carrie Bow Seagrass","Seagrass","2017","Halichoeres bivittatus",13
"249","Carrie Bow Seagrass","Seagrass","2017","Scarus iseri",7
"250","Carrie Bow Seagrass","Seagrass","2017","Scarus spp.",2
"251","Carrie Bow Seagrass","Seagrass","2017","Sparisoma radians",4
"252","Curlew Patch Reef","Patch Reef","2015","Cephalopholis cruentata",1
"253","Curlew Patch Reef","Patch Reef","2015","Coryphopterus dicrus",5
"254","Curlew Patch Reef","Patch Reef","2015","Gnatholepis thompsoni",13
"255","Curlew Patch Reef","Patch Reef","2015","Gymnothorax moringa",1
