Line_ID,habitat,site,item,year,date.deployed,time.deployed,date.collected,time.collected,number.deployed,number.recovered,detachment.1hr,detachment.24hr,prop.1hr,prop.24hr,lat,long
20150925CB002,mangrove,Tobacco Mangrove,thalassia,2015,9/25/15,16:50,9/26/15,16:50,25,22,2,0,0.083333333,0,16.878533,-88.092642
20150925CB002,mangrove,Tobacco Mangrove,sargassum,2015,9/25/15,16:50,9/26/15,16:50,25,22,0,0,0,0,16.878533,-88.092642
20150925CB002,mangrove,Tobacco Mangrove,halimeda,2015,9/25/15,16:50,9/26/15,16:50,25,22,0,3,0,0.136363636,16.878533,-88.092642
20150925CB002,mangrove,Tobacco Mangrove,dictyota,2015,9/25/15,16:50,9/26/15,16:50,25,22,0,2,0,0.090909091,16.878533,-88.092642
20150925CB002,mangrove,Tobacco Mangrove,acanthophora,2015,9/25/15,16:50,9/26/15,16:50,25,22,0,0,0,0,16.878533,-88.092642
20150926CB001,mangrove,Blueground Mangrove,thalassia,2015,9/26/15,14:14,9/27/15,16:00,22,22,0,0,0,0,16.80807,-88.14677
20150926CB001,mangrove,Blueground Mangrove,sargassum,2015,9/26/15,14:14,9/27/15,16:00,22,22,0,0,0,0,16.80807,-88.14677
20150926CB001,mangrove,Blueground Mangrove,halimeda,2015,9/26/15,14:14,9/27/15,16:00,22,22,0,0,0,0,16.80807,-88.14677
20150926CB001,mangrove,Blueground Mangrove,dictyota,2015,9/26/15,14:14,9/27/15,16:00,22,22,0,2,0,0.090909091,16.80807,-88.14677
20150926CB001,mangrove,Blueground Mangrove,acanthophora,2015,9/26/15,14:14,9/27/15,16:00,22,22,0,2,0,0.090909091,16.80807,-88.14677
20150926CB002,mangrove,Twin Cays Mangrove,thalassia,2015,9/26/15,15:45,9/27/15,14:50,21,21,0,0,0,0,16.828775,-88.104778
20150926CB002,mangrove,Twin Cays Mangrove,sargassum,2015,9/26/15,15:45,9/27/15,14:50,23,23,0,0,0,0,16.828775,-88.104778
20150926CB002,mangrove,Twin Cays Mangrove,halimeda,2015,9/26/15,15:45,9/27/15,14:50,23,23,0,0,0,0,16.828775,-88.104778
20150926CB002,mangrove,Twin Cays Mangrove,dictyota,2015,9/26/15,15:45,9/27/15,14:50,23,23,0,0,0,0,16.828775,-88.104778
20150926CB002,mangrove,Twin Cays Mangrove,acanthophora,2015,9/26/15,15:45,9/27/15,14:50,23,23,0,0,0,0,16.828775,-88.104778
20150917CB001,fore reef,Carrie Bow Reef,thalassia,2015,9/17/15,14:00,9/18/15,14:00,25,25,4,22,0.166666667,0.88,16.802433,-88.077633
20150917CB001,fore reef,Carrie Bow Reef,sargassum,2015,9/17/15,14:00,9/18/15,14:00,25,25,1,4,0.041666667,0.16,16.802433,-88.077633
20150917CB001,fore reef,Carrie Bow Reef,halimeda,2015,9/17/15,14:00,9/18/15,14:00,25,25,0,0,0,0,16.802433,-88.077633
20150917CB001,fore reef,Carrie Bow Reef,dictyota,2015,9/17/15,14:00,9/18/15,14:00,25,25,0,3,0,0.12,16.802433,-88.077633
20150917CB001,fore reef,Carrie Bow Reef,acanthophora,2015,9/17/15,14:00,9/18/15,14:00,25,25,2,22,0.083333333,0.88,16.802433,-88.077633
20150918CB001,fore reef,South Reef,thalassia,2015,9/18/15,10:00,9/19/15,10:45,25,25,7,24,0.28,0.96,16.776183,-88.0754
20150918CB001,fore reef,South Reef,sargassum,2015,9/18/15,10:00,9/19/15,10:45,25,25,5,9,0.2,0.36,16.776183,-88.0754
