Location,Habitat,Site,Year,Date.Deployed,Time.Deployed,Date.Collected,Time.Collected,Number.Deployed,Number.Recovered,Detachment.1.hour,Detachment.24.hour,Proportion Missing 1 hour,Proportion Missing 24 hours,Data.Collector,Notes,Lat,Long
CB,mangrove,Blueground Mangrove,2015,9/26/15,14:14,9/27/15,16:00,25,25,18,25,0.72,1,DS,,16.80807,-88.14677
CB,mangrove,Blueground Mangrove,2016,20161031,910,20161101,1030,25,25,14,22,0.56,0.88,"Whippo, Altieri",,16.80807,-88.14677
CB,mangrove,Blueground Mangrove,2017,20170928,1040,20170928,1140,25,25,25,25,1,1,Whippo,"sunny, calm / sunny, calm",,20 filmed with GoPro
CB,fore reef,Carrie Bow Reef,2015,9/19/15,15:45,9/20/15,16:00,25,25,24,25,0.96,1,RW,,16.802433,-88.077633
CB,fore reef,Carrie Bow Reef,2016,20161028,1530,20161029,1530,21,24,19,24,0.904761905,1,Whippo,"only 21 located at 1 hour, 24 found at 24 hours",16.8021,-88.078817
CB,fore reef,Carrie Bow Reef,2017,20171001,,20171001,,25,25,25,25,1,1,Whippo,,,20 filmed with GoPro
CB,patch reef,House Reef,2015,9/24/15,15:30,9/24/15,16:30,25,25,25,25,1,1,JS,,16.80126,-88.08306
CB,patch reef,House Reef,2016,20161029,1450,20161030,1450,25,25,7,23,0.28,0.92,,,16.80126,-88.08306
CB,patch reef,House Reef,2017,20170930,1000,,,25,25,23,25,0.92,1,Whippo / ?,"breezy, overcast",,20 filmed with GoPro
CB,patch reef,Carrie Bow Patch Reef,2015,9/25/15,11:24,9/26/15,11:30,26,26,24,26,0.923076923,1,"JS, RW",26 accidentally deployed,16.80863,-88.08616
CB,patch reef,Carrie Bow Patch Reef,2016,20161101,900,20161102,1200,25,25,21,25,0.84,1,"Stuart-Smith, Altieri",,16.80863,-88.08616
CB,patch reef,Carrie Bow Patch Reef,2017,20171002,,20171002,,25,25,25,25,1,1,Whippo,,,20 filmed with GoPro
