SpID,TAXONOMIC_NAME,Family,Class,CURRENT_SPECIES_NAME,CURRENT_TAXONOMIC_NAME,MaxLength,Trophic Level,Trophic group,Water column,Diel Activity,Habitat
1409,Abalistes stellatus,Balistidae,Actinopterygii,Abalistes stellatus,Abalistes stellatus,60,3.4,Benthic invertivore,Demersal,Day,
7249,Ablennes hians,Belonidae,Actinopterygii,Ablennes hians,Ablennes hians,140,,Higher carnivore,benthic,,
5491,Abudefduf abdominalis,Pomacentridae,Actinopterygii,Abudefduf abdominalis,Abudefduf abdominalis,30,3,Planktivore,Demersal,Day,coral
1410,Abudefduf bengalensis,Pomacentridae,Actinopterygii,Abudefduf bengalensis,Abudefduf bengalensis,17,3.1,Planktivore,Demersal,Day,coral
4571,Abudefduf concolor,Pomacentridae,Actinopterygii,Abudefduf concolor,Abudefduf concolor,19,2.7,Planktivore,Demersal,Day,coral
4572,Abudefduf conformis,Pomacentridae,Actinopterygii,Abudefduf conformis,Abudefduf conformis,13.1,2.8,Planktivore,Demersal,Day,coral
4573,Abudefduf luridus,Pomacentridae,Actinopterygii,Abudefduf luridus,Abudefduf luridus,15,3.5,Planktivore,Demersal,Day,rock
4574,Abudefduf notatus,Pomacentridae,Actinopterygii,Abudefduf notatus,Abudefduf notatus,17,2.7,Planktivore,Demersal,Day,coral
4575,Abudefduf saxatilis,Pomacentridae,Actinopterygii,Abudefduf saxatilis,Abudefduf saxatilis,22.9,3.4,Planktivore,Demersal,Day,coral
3035,Abudefduf septemfasciatus,Pomacentridae,Actinopterygii,Abudefduf septemfasciatus,Abudefduf septemfasciatus,23,3,Planktivore,Demersal,Day,coral
1272,Abudefduf sexfasciatus,Pomacentridae,Actinopterygii,Abudefduf sexfasciatus,Abudefduf sexfasciatus,16,2.4,Planktivore,Demersal,Day,coral
1411,Abudefduf sordidus,Pomacentridae,Actinopterygii,Abudefduf sordidus,Abudefduf sordidus,23,2.8,Planktivore,Demersal,Day,coral
5579,Abudefduf sparoides,Pomacentridae,Actinopterygii,Abudefduf sparoides,Abudefduf sparoides,16,3,Planktivore,Demersal,Day,coral
3872,Abudefduf spp.,Pomacentridae,Actinopterygii,Abudefduf spp.,Abudefduf spp.,,,planktivore,Demersal,Day,coral
4576,Abudefduf troschelii,Pomacentridae,Actinopterygii,Abudefduf troschelii,Abudefduf troschelii,20,3,Planktivore,Demersal,Day,coral
1038,Abudefduf vaigiensis,Pomacentridae,Actinopterygii,Abudefduf vaigiensis,Abudefduf vaigiensis,20,2.6,Planktivore,Demersal,Day,coral
3036,Abudefduf whitleyi,Pomacentridae,Actinopterygii,Abudefduf whitleyi,Abudefduf whitleyi,14,2.6,Planktivore,Demersal,Day,coral
